,0
0,9.20013610281025e-16
1,4.716850849690881e-15
2,7.107417523806131e-14
3,3.452539250495838e-12
4,2.0239684975937197e-12
5,1.1887969105216923e-12
6,6.953299687250828e-11
7,7.175891291000746e-13
8,1.1390129072668052e-11
9,3.720082018827276e-12
