,0
0,3.955911608899515e-18
1,3.955911608899515e-18
2,3.955911608899515e-18
3,5.3491518536532616e-18
4,7.904542511257087e-18
5,8.91017949833896e-18
6,1.066434998919262e-14
7,9.315654970277967e-15
8,1.7779579253153793e-14
9,6.369745787872333e-15
