,0,1,2,3,4
0,-0.9963399767875671,-0.9968000054359436,-0.9962400197982788,-0.9965000152587891,-0.9986400008201599
1,-0.9984000325202942,-0.9987800121307373,-0.9986099600791931,-0.9987799525260925,-0.9984099864959717
2,-0.9991733431816101,-0.9991933703422546,-0.999220073223114,-0.9992132782936096,-0.999133288860321
3,-0.9993100166320801,-0.9993250370025635,-0.9993249773979187,-0.9993150234222412,-0.9993299841880798
4,-0.9994080066680908,-0.999459981918335,-0.9993798732757568,-0.9994679689407349,-0.9994440674781799
5,-0.999489963054657,-0.9994500279426575,-0.999459981918335,-0.9995399713516235,-0.9995266795158386
6,-0.999519944190979,-0.9995399713516235,-0.9995542764663696,-0.9998685717582703,-0.9995570778846741
7,-0.9996025562286377,-0.9995675086975098,-0.9995924830436707,-0.9995550513267517,-0.9995449781417847
8,-0.9995778203010559,-0.999595582485199,-0.9996377825737,-0.9995977878570557,-0.9996200203895569
9,-0.9996879696846008,-0.9996599555015564,-0.9996339678764343,-0.9996180534362793,-0.9996139407157898
