,0
0,6.25659385293205e-17
1,4.077305309362108e-18
2,4.077305309362108e-18
3,7.224640146752808e-18
4,4.600755329028405e-18
5,3.955911608899515e-18
6,4.741660298062961e-18
7,4.741660298062961e-18
8,4.077305309362108e-18
9,4.202375107965438e-18
