,0
0,3.3752010283861196e-13
1,2.5718655793250194e-16
2,1.5465098430727793e-15
3,3.634252348432111e-15
4,3.7781886173972886e-11
5,3.771141495375959e-09
6,1.8292852354619236e-10
7,7.933324310646898e-13
8,6.956543085230813e-14
9,1.2618012611721015e-12
