,0
0,3.955911608899515e-18
1,3.955911608899515e-18
2,3.955911608899515e-18
3,3.955911608899515e-18
4,3.955911608899515e-18
5,3.955911608899515e-18
6,3.955911608899515e-18
7,3.955911608899515e-18
8,3.955911608899515e-18
9,3.955911608899515e-18
