,0
0,3.955911608899515e-18
1,6.602525240329955e-18
2,3.955911608899515e-18
3,3.955911608899515e-18
4,4.077305309362108e-18
5,3.955911608899515e-18
6,4.3312308026021755e-18
7,3.955911608899515e-18
8,4.3312308026021755e-18
9,4.741660298062961e-18
