,0
0,5.8619439976469e-17
1,3.955688540646198e-18
2,4.07707557572388e-18
3,3.947220776754816e-18
4,3.949224745531808e-18
5,3.9418815714469215e-18
6,3.934107500558825e-18
7,3.937881660885785e-18
8,3.946330433405387e-18
9,3.9363271793986875e-18
