,0
0,8.909687622168977e-18
1,6.407144908465067e-18
2,4.202138512611625e-18
3,4.886549579178182e-18
4,5.680773685528714e-18
5,4.886823633262706e-18
6,4.7405958952501075e-18
7,6.601423182047025e-18
8,5.036090041774092e-18
9,4.600496912754472e-18
