,0,1,2,3,4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.1196,0.224,0.221,0.2232,0.2146
5,0.21983333333333333,0.22016666666666668,0.21633333333333332,0.21416666666666667,0.22066666666666668
6,0.22085714285714286,0.22157142857142856,0.22585714285714287,0.21771428571428572,0.30328571428571427
7,0.49075,0.49675,0.491,0.49625,0.50275
8,0.5682222222222222,0.5582222222222222,0.6092222222222222,0.5597777777777778,0.5552222222222222
9,0.7851,0.8339,0.8377,0.8395,0.834
